callsign,count
BALTIA FLIGHT,1
BOTIR-AVIA,1
BIZEX,1
BEETEE-SLAVUTA,1
BATAVIA,1
BULGARIAN CHARTER,1
BLUE AIRLINES,1
BURAL,1
BUZZ,1
BUFFALO AIR,1
BULGARIAN WINGS,1
SHOW-ME,1
BERJAYA,1
 Sierra Leone,1
BLUE WINGS,1
BLUE TAIL,1
BRITWORLD,1
BEXAIR,1
PALLISER,1
XENIA,1
BOXER,1
BERRY,1
BYLINA,1
BAYU,1
BERLIN BEAR,1
BRITAIR,1
BUZZARD,1
AUSTROJET,1
COSMOS,1
CLIFTON,1
SEELINE,1
CORPJET,1
CLIPPER CONNECTION,1
BEE-LINE,1
EASTERN,1
BOND AVIATION,1
BRAZILIAN ARMY,1
EXPRESS AIR,1
THAI HAWK,1
SCOOP,1
BONYAD AIR,1
RERUN,1
BLUE TRANSPORT,1
BEE MED,1
ALBAN-BELLE,1
SWEEPER,1
LITTORAL,1
FLEXJET,1
FLYING BULGARIA,1
BRAZILIAN NAVY,1
NORDFLIGHT,1
BELGIAN NAVY,1
BAKO AIR,1
PALEMA,1
PORTNET,1
BOJBAN,1
PIPESTONE,1
RED HEAD,1
RATTLER,1
RAPEX,1
BLACKBOX,1
SCANJET,1
SHUTTLE,1
SKYNEWS,1
TEXTRON,1
UKAY,1
AVOLAR,1
BLUE SPEED,1
AVRO,1
TARNISH,1
SANTA,1
BOSKY,1
SYRJET,1
CAPRI,1
TRANSPAC,1
RED WING,1
 Societe,1
CABI,1
AIRCAI,1
CAL,1
CAMEO,1
CATA,1
TOMCAT,1
CEDTA,1
HELIBIRD,1
HEMS,1
HELIBUS,1
CI-TOURS,1
CEE-EM STAIRS,1
KNET,1
COAPA,1
SPEEDSTER,1
HELI-MEX,1
IRON AIR,1
OXFORD,1
CITYLINK,1
CABAIR,1
KABEX,1
AMBASSADOR,1
CAL-GULF,1
CAL AIR,1
CALIFORNIA SHUTTLE,1
CALIMA,1
CALM AIR,1
AIR CAMAI,1
CAMBODIA AIRLINES,1
CAM-AIR,1
HELIASTURIAS,1
CANJET,1
PINNACLE,1
CANADIAN COAST GUARD,1
HAIDA,1
CANFORCE,1
BLIZZARD,1
TANKER,1
EMPRESS,1
CANADIAN REGIONAL,1
WARPLANE HERITAGE,1
CANADIAN WESTERN,1
CANAIR,1
CAN-AIR,1
CAIR,1
SEMO,1
CAPE SMYTHE AIR,1
CAPAIR,1
CAPITAL DELTA,1
CAPITAL SHUTTLE,1
CAPPY,1
CAP CITY,1
PRESTIGE,1
CAPITOL EXPRESS,1
CAPWINGS,1
CAMEL,1
CAMBRIAN,1
AIR VIRGINIA,1
CARGOLAAR,1
CARDS,1
CARE FLIGHT,1
CARGA AEREA,1
CARGAINTER,1
LONG-HAUL,1
MAURICARGO,1
CARGOIV,1
CARGO LINK,1
THIRD CARGO,1
WHITE PELICAN,1
CARGOJET,1
CARGOLUX,1
HOTEL CHARLIE,1
RED TAIL,1
WAVEBIRD,1
CARIBAIR,1
CARICARGO,1
CARIBBEAN,1
CARIBBEAN AIRLINES,1
CARIBJET,1
CARIB-X,1
CARIB STAR,1
CARIBINTAIR,1
CARILL,1
CARPATAIR,1
CARRANZA,1
ULSTER,1
CASEMENT,1
CASAIR,1
CASPER AIR,1
CASPIAN,1
CASTLE,1
EUROCAT,1
CATALINA AIR,1
CATEX,1
CATHAY,1
CAVERTON AIR,1
CAYMAN,1
CEBU AIR,1
CECIL,1
CEGA,1
CELTAIR,1
CELTIC,1
CENTEV,1
WYO-AIR,1
CENTENNIAL,1
CENTERVOL,1
CENTER-SOUTH,1
CENTRAFRICAIN,1
CENTRAL EXPRESS,1
CENTRAL COMMUTER,1
CENTRAL LEONE,1
AEROCENTRO,1
YOGAN AIR,1
DISCOS REYNOSA,1
EUROCENTRAL,1
CHARTER CENTRAL,1
CENTRAL MONGOLIA,1
GLACIER,1
SKYPORT,1
CENTRALWINGS,1
DUTCH VALLEY,1
GEO CENTRE,1
AVIACENTRE,1
HELICORPORATIVO,1
FORCAN,1
CHALLENGE CARGO,1
CENTURY AVIA,1
CETRACA,1
CHABAHAR,1
CHALLAIR,1
CHALKS,1
AIRISTO,1
CHALLENGE AVIATION,1
CHALLENGE AIR,1
SKY CHALLENGER,1
CHAMPAGNE,1
CHAMPION AIR,1
CHANCHANGI,1
CHANGAN,1
CHANNEL,1
MARLIN,1
CHAPARRAL,1
CHARI SERVICE,1
CHARLAN,1
HAMMOND,1
CHARTER WIEN,1
CHARTRIGHT,1
CHAUTAUQUA,1
CHEBAIR,1
CHERL,1
CHERAVIA,1
BLUE MAX,1
CHERRY,1
CHESAPEAKE AIR,1
CHEVRON,1
CHEYENNE AIR,1
WILD ONION,1
WINDY CITY,1
RIVERRAT,1
CHILCHOTA,1
CHILCOTIN,1
CHILLIWACKAIR,1
CHMINIR,1
DYNASTY,1
CARGO KING,1
CHINA EASTERN,1
CHINA EXPRESS,1
FEILONG,1
TONGHANG,1
CHINA NATIONAL,1
CHINA NORTHERN,1
CHINA NORTHWEST,1
CHINA HELICOPTER,1
CHINA POST,1
CHINA SOUTHERN,1
CHINA SOUTHWEST,1
LIANHANG,1
XINHUA,1
YUNNAN,1
CHINGUETTI,1
CHIPOLA,1
CHIPPEWA-AIR,1
CHITA,1
CHRISTMAN,1
CHRISTOPHORUS,1
CHROME AIR,1
CHURCHAIR,1
CIELOS,1
CIMBER,1
HELICIRRUS,1
NITE STAR,1
CIRRUS AIR,1
FIVE STAR,1
ZHONGXIN,1
SWEDESTAR,1
CONNEXION,1
CITY-IRELAND,1
AIR CHESTER,1
CITYFLY,1
FLYER,1
CITYHUN,1
HOOSIER,1
CIVFLIGHT,1
BOX KAR,1
CALIMERA,1
CIVAIR,1
CALIBRA,1
CLAESSENS,1
CLARKAIR,1
CALEDONIAN,1
CLAY-LACY,1
CLICK AIR,1
CLOUDLINE,1
CLOWES,1
SPACEJET,1
CLUBAIR,1
COAST CENTER,1
U.S. Virgin Islands,1
TRANS COASTAL,1
SID-AIR,1
COASTAL TRAVEL,1
COHLMIA,1
COLAEREOS,1
COLEMILL,1
COLGAN,1
HUMMINGBIRD,1
COLAIR,1
COLUMBIA HELI,1
KAY-LER,1
GRASSHOPPER EX,1
COMAIR,1
COMMERCIAL,1
COMEX,1
COMERAVIA,1
COMERCIAL AEREA,1
SUNSPY,1
FLYNN,1
COMLUX,1
COMMODORE,1
COTAM,1
COMMANDAIR,1
COMMANDERMEX,1
ACCESS,1
COMMONWEALTH,1
COMMUTAIR,1
CONTICOM,1
COMPRIP,1
CAMALI,1
CEBEGE,1
AEROTECNICAS,1
STELLAIR,1
EJECUTIVA,1
HELISURESTE,1
AEROPLANOS,1
MEXICARGO,1
TAS HELICOPTEROS,1
TAVISA,1
COMPANY FLIGHT,1
Compass Rose,1
COMPASS,1
CONAIR-CANADA,1
CONCORDAVIA,1
CONAERO,1
CONDOR BERLIN,1
CONDOR,1
CONFORT,1
CONGRESSIONAL,1
BASTION,1
CONQUEST AIR,1
CONROE AIR,1
AVIACSA,1
CONSORCIO HELITEC,1
CONSTANTA,1
CONTACTAIR,1
CONTINENTAL,1
CONTAIR,1
JETLINK,1
AIR MIKE,1
CONOCO,1
CONVIASA,1
COOK-AIR,1
SURVEYOR,1
COPA,1
AIRCAT,1
COPPER STATE,1
COPTERLINE,1
COPTRADE AIR,1
CORENDON,1
CORAL,1
PENTA,1
CENCOR,1
CORPORANG,1
AIR SPUR,1
CORPAIR,1
MOKAN,1
CORPORATE,1
CHECKMATE,1
VEGAS HEAT,1
VOLUNTEER,1
SEA JET,1
CORSAIR,1
CORSICA,1
COSMIC AIR,1
COUGAR,1
MOCKINGBIRD,1
COUNTRY AIR,1
DELIVERY,1
COURT AIR,1
COVAL,1
COWI,1
COYNE AIR,1
AERONAUT,1
CREE AIR,1
CRELAM,1
CREST,1
TRANS UNIVERSAL,1
CROATIA,1
CROATIAN AIRFORCE,1
CROSSAIR,1
Cigogne,1
CROW EXPRESS,1
CROWN AIR,1
CROWN AIRWAYS,1
REGAL,1
VOE CRUISER,1
CENTURY,1
CRYSTAL-AIR,1
CUBANA,1
CUMBERLAND,1
CATT,1
CYGNUS AIR,1
CYPRAIR,1
SKYBIRD,1
CYPRUS,1
CZECH AIR FORCE,1
AIRHANDLING,1
CSA-LINES,1
CZECHIA,1
DUSTY,1
DIRECT JET,1
HELIDAP,1
VOLANTE,1
DAIRAIR,1
DAS CONGO,1
DANISH,1
DATENT,1
GAUNTLET,1
DESNA,1
SAMAL,1
DGO JET,1
YELLOW,1
WORLD EXPRESS,1
WORLDSTAR,1
DILMUN,1
REDSKIN,1
DALO AIRLINES,1
DAGAL,1
TWIN STAR,1
DAIMLER,1
DALA AIR,1
DALAVIA,1
DALLAS EXPRESS,1
AIRDAM,1
DANBURY AIRWAYS,1
DANCOPTER,1
DANISH AIRFORCE,1
DANISH ARMY,1
DANISH NAVY,1
DANU,1
DARTA,1
DARWIN,1
DASAB AIR,1
DASH CHARTER,1
PILGRIM,1
DASNA,1
CLOVERLEAF,1
DASSAULT,1
DATA AIR,1
DAUAIR,1
DAWN AIR,1
DAYJET,1
DAYA,1
DEHAVILLAND,1
IASON,1
DECUR,1
DECCAN,1
DEKKANLANKA,1
DEER JET,1
JOHN DEERE,1
DELAWARE,1
JET SERVICE,1
SNOWBALL,1
ELITE JET,1
DELTA,1
KEMBLEJET,1
DELTA EXPRESS,1
DELTA STATE,1
DENIM,1
FALCON EXPRESS,1
DENVER JET,1
FORESTALES,1
DERAYA,1
MILAZ,1
DESTINY,1
CIVIL AIR AMBULANCE,1
LUFO,1
DI AIR,1
SPARKLE,1
DIDIER,1
DIGITAL,1
AERO DINAR,1
DIPFREIGHT,1
ENA,1
BLUE SKY,1
MID-TOWN,1
EXPRESS SKY,1
DIRGANTARA,1
DISCOVER,1
DISCOVERY AIRWAYS,1
DIX FLIGHT,1
TACAIR,1
DJIBOUTI AIR,1
DNIEPRO,1
FLYING DOLPHIN,1
ISLAND EXPRESS,1
DOME,1
MAYORAL,1
DOMINICANA,1
DOMODEDOVO,1
DONSEBAI,1
DONAIR,1
DONBASS AERO,1
DORADO AIR,1
DORNIER,1
DANA AIR,1
DOS MUNDOS,1
 Hong Kong Dragon Airlines,1
DREAM CATCHER,1
ROYAL BHUTAN,1
MICHIGAN,1
DUBAI,1
SEAGULL,1
LION KING,1
DUCHESS,1
LEOPARD,1
DUNAIR,1
PANHANDLE,1
WORLDFOCUS,1
FLY DUO,1
DURANGO JET,1
DUTCH ANTILLES,1
DUTCH CARIBBEAN,1
DUTCHBIRD,1
DWYAIR,1
DYNAMAIR,1
DYNAMIC,1
SPEEDWAY,1
PLATINUM AIR,1
AERO-ESCOLA,1
ECHOLINE,1
EFAOS,1
EVER FLIGHT,1
FLUGSERVICE,1
COOL,1
EPAG,1
ELISERVIZI,1
EUROAIRWAYS,1
UNION JET,1
EVA,1
ICARUS FLIGHTS,1
EAGLE SIERRA,1
THAI EAGLE,1
ARCTIC EAGLE,1
AFRICAN EAGLE,1
GYPSY,1
FRENCH EAGLE,1
SEN-EAGLE,1
EAGLE JET,1
EAGLEMED,1
EARTH AIR,1
CRANE,1
DUMA,1
TWIGA,1
EASTWAY,1
EASTCOAST JET,1
AIRE HAMPTON,1
BLUE GOOSE,1
COSTOCK,1
EAST STAR,1
EASTWEST,1
EASAIR,1
EASTEX,1
EASTFLIGHT,1
EASTERN CAROLINA,1
GENESIS,1
LARISA,1
EMAIR,1
EAST PAC,1
EASTERN SKYJETS,1
STINGER,1
FLYME,1
CIMMARON AIRE,1
ECLIPSE JET,1
SKYBRIDGE,1
AIR ECOMEX,1
ECOTOUR,1
XCALAK,1
EQUATOGUINEA,1
ECUA-CARGO,1
ECUAVIA,1
EDELWEISS,1
SLOW,1
SALTIRE,1
EDWARDS,1
EFATA,1
EGYPTAIR,1
EGYPTAIR CARGO,1
AIR EXPORTS,1
EIRJET,1
ELAL,1
EL CAMINANTE,1
QUILADA,1
EL SAL,1
SOLAMERICA,1
BURAQAIR,1
ELAN,1
MOTION,1
ELAVIA,1
DINDER,1
ELICAR,1
ELIDOLOMITI,1
ELILOBARDIA,1
ELIFRIULIA,1
LARIO,1
LOMBARDA,1
ELIMEDITERRANEA,1
ELIOS,1
ELIPIU,1
ESRA,1
ELAIR,1
ELITE DUBAI,1
ELITELLINA,1
ELLIOT,1
ELMAGAL,1
EMBASSY AIR,1
EMBASSY FREIGHT,1
EMBRAER,1
SATSLAB,1
GEMSTONE,1
EMERY,1
EMETEBE,1
EMIRATES,1
SABIAN AIR,1
EMPIRE,1
EMPIRE AIR,1
TESTER,1
ASPAR,1
AEROCARIBBEAN,1
EBBA,1
ECUATORIANA,1
SERAER,1
VENEZOLANA,1
GAVIOTA,1
INFRAERO,1
ENDECOTS,1
ENIMEX,1
ENKOR,1
GLEISNER,1
ENSENADA ESPECIAL,1
ENTERGY SHUTTLE,1
WORLD ENTERPRISE,1
NEW DAWN,1
EQUAFLIGHT,1
ZAMBIA CARGO,1
ERAM AIR,1
ERFOTO,1
AIR ERIE,1
ERITREAN,1
ARE AVIACION,1
ESPACE,1
ESSO,1
ESTONIAN,1
ESTRELLAS,1
ETHIOPIAN,1
ELCO ETI,1
ETIHAD,1
ETRAM,1
EURAVIATION,1
EURO CONTINENTAL,1
EURO SUN,1
EAKAZ,1
KAZEUR,1
EUROATLANTIC,1
GOJET,1
EUROSTAR,1
EUROAMERICAN,1
ECHELON,1
EUROCOPTER,1
EUROCYPRIA,1
E-FLY,1
EUROFLY,1
EUROGUINEA,1
JET ITALIA,1
JET LINE,1
JET-ARROW,1
EEJAY SERVICE,1
EUROLOT,1
EUROMANX,1
LANGUEDOC,1
FRENCH POST,1
FIESTA,1
STAR WING,1
EUROTRANS,1
EUROCHARTER,1
COASTAL CLIPPER,1
EURO EXEC,1
ECHO EXPRESS,1
EUROSENSE,1
CATFISH,1
EUROWINGS,1
EVERGREEN,1
EVERTS,1
AGENCY,1
EXPO,1
HELI EXCEL,1
EXCELLENT AIR,1
CANADIAN EXECAIRE,1
AVCON,1
MIDJET,1
VAMPIRE,1
AEROSPACE,1
LIFE FLIGHT,1
EXECAIR,1
ECHO,1
EXECUTIVE EAGLE,1
SACAIR,1
JESTER,1
EXEC,1
TRILLIUM,1
JET SPEED,1
TRAVELMAX,1
EXIMFLIGHT,1
EXIN,1
EXPERTOS ENCARGA,1
EXPOAVIA,1
EFFEX,1
EXCARGO,1
EXPRESSLINE,1
EXPRESSNET,1
LONGHORN,1
EXPRESS TOURS,1
JET LINK,1
SKYMAN,1
EASY,1
SOCKEYE,1
RED ANGLE,1
FLIGHT CHECK,1
KIEL AIR,1
DOT COM,1
QUICKFLOW,1
HUSKY,1
RUSHTON,1
SEABIRD,1
LEIPZIG FAIR,1
FAB AIR,1
MEXFACTS,1
FAIRAVIA,1
FAIR WIND,1
FAIRLINE,1
FAIROAKS,1
FAIRWAYS,1
FALCON,1
FALCAIR,1
PANTHER,1
FALCON AIRLINE,1
FALCON AVIATION,1
FALCONJET,1
FALWELL,1
Far Eastern,1
FARMINGDALE STATE,1
BLUE STRIP,1
FARNED,1
FARNER,1
FARNAS,1
HELIBLUE,1
ROCKROSE,1
FARWEST,1
FASO,1
FINDON,1
FAYBAN AIR,1
SKYTEM,1
FEDAIR,1
FEDERAL AIRLINES,1
DIPLOMATIC CLEARANCE,1
FEDARM,1
NIGHTHAWK,1
FEDEX,1
AURIKA,1
FERIA,1
SALAAMA,1
FINALAIR CONGO,1
FACTS,1
FINE AIR,1
FINISTAIR,1
FINNAIR,1
WESTBIRD,1
FINNFORCE,1
FIRST CAMBODIA,1
JETSET,1
FIRST CITY,1
JAWJA,1
FIRSTLINE AIR,1
FIRST SABRE,1
FISCHER,1
FLYING FISH,1
FLAG,1
FLAIR,1
FLAMENCO,1
FLAMINGO AIR,1
ILIAS,1
FLASH,1
BROADWAY,1
FLEETAIR,1
FLEXY,1
TUNDRA,1
NAV CHECKER,1
NAVAIR,1
FLIGHTCORP,1
FLIGHT EXPRESS,1
CHINA JET,1
SPECAIR,1
INVADER JACK,1
MATCO,1
OPTIONS,1
CALIBRATOR,1
FLIGHTSAFETY,1
CABLE CHECK,1
CYGNET,1
KLONDIKE,1
CASCADE,1
FLIGHTEXEC,1
FLIGHTLINE,1
FLIGHTPASS,1
FLIGHTSTAR,1
KUDZU,1
FLINT AIR,1
OHJAY,1
FLORIDA COASTAL,1
FORESTRY,1
FLORIDAJET,1
FLO WEST,1
WITCHCRAFT,1
YELLOW FLYER,1
EICHENBURGER,1
FLY WORLD,1
DEALER,1
FLY EURO,1
FLY EXCELLENT,1
NOUVINTER,1
FLYLINE,1
FLYBIRD,1
FLYWEX,1
XANADU,1
LITHUANIA AIR,1
NORDIC,1
BABOO,1
JERSEY,1
FLYCOLUMBIA,1
FLYCOM,1
BLUECRAFT,1
GLOBESPAN,1
EXTRANS,1
INSTRUCTOR,1
FLY HIGH,1
FLYING GROUP,1
FLYING CENTER,1
FLYLINK,1
FLYTEAM,1
FOCUS,1
FONNA,1
FORDAIR,1
FORMULA,1
HELISCOT,1
AIR FUTURE,1
FOSTER-AIR,1
YEOMAN,1
FOTOGRAFIA,1
ISLANDAIR,1
FOUR STAR,1
WINDS,1
WILDFOX,1
FRENCH CUSTOM,1
FREE BIRD,1
FREE AIR,1
FREEDOM,1
INTER FREEDOM,1
FREEDOM AIR,1
FREEDOM AIRWAYS,1
FREEWAY,1
FREIGHT RUNNERS,1
FRENCH AIR FORCE,1
FRENCH ARMY,1
FRENCH NAVY,1
FRESH AIR,1
WILDGOOSE,1
FRIENDSHIP,1
FRIEND AIR,1
FRONTIER FLIGHT,1
OUT BACK,1
FRONTIER-AIR,1
FINNGUARD,1
FUJAIRAH,1
FUJIAN,1
GRAND AIRE,1
FAASA,1
FUN FLYING,1
REGO,1
FUNTSHI,1
Applewood,1
FUTURA,1
GEEANDEL,1
BATMAN,1
GAK AVIATION,1
GATSA,1
ISLAND TIGER,1
GEEBEE AIRWAYS,1
GALION,1
FERRANTI,1
GECAS,1
GENSA-BRASIL,1
GETRA,1
GEE-EM HELICOPTERS,1
REGIONAL EXPRESS,1
GPM AEROSERVICIO,1
GRAVIA,1
MURAT,1
BIG-DEE,1
GAMHELICO,1
GABEX,1
GACELA AIR,1
GAIL FORCE,1
HERCULES JET,1
GALAIR,1
GALS,1
GALAXY,1
GALAX,1
GALENA AIR SERVICE,1
GAMA,1
GAMBIA INTERNATIONAL,1
NEWMILL,1
GAMISA,1
Gandalf,1
GANAIR,1
GARDEN STATE,1
AIR HURON,1
INDONESIA,1
GATARI,1
GAUTENG,1
GAVINA,1
GAZPROMAVIA,1
GEESAIR,1
GEMINI,1
GENDALL,1
BELGIAN GENERMERIE,1
FRANCE GENDARME,1
SKYWALKER,1
GENAIR,1
GONZO,1
GOTHAM,1
GENERAL MOTORS,1
SURVEY-CANADA,1
TAMAZI,1
GEORGIA FED,1
GEORGIAN AFRICA,1
GERMAN POLAR,1
GERMAN AIR FORCE,1
GERMAN ARMY,1
GERMAN NAVY,1
GERMAN SKY,1
GERMANIA,1
GERMAN WINGS,1
KITE,1
GESTAIR,1
STAR GESTAR,1
BANJET,1
GHANA,1
GHANA AIRLINES,1
NIGHT CHASE,1
RESPONSE,1
GLOBAL AIRGROUP,1
GLOBAL SERVE,1
GLOBE,1
AVIAGROUP,1
GLOBAL GEORGIAN,1
GLOBAL AUSTRIA,1
THUNDERCLOUD,1
SILVER ARROWS,1
GLOBAL SKY,1
JET LIFT,1
GOAIR,1
GATEWAY,1
GOF-AIR,1
SWISS HAWK,1
GOL TRANSPORTE,1
GOLD BELT,1
GOLDECK FLUG,1
GOLDEN,1
GOLDEN AIRLINES,1
GOLDEN PAC,1
GOLDEN RULE,1
GOLDEN STAR,1
GOLFAIR,1
GOLIAF AIR,1
GOMEL,1
RED STAR,1
GORKHA AIRLINES,1
GORLITSA,1
HONGKONG GOVERNMENT,1
COM FLIGHT,1
GRANITE,1
GRANAVI,1
GRAND EXPRESS,1
GRAND VEGAS,1
CANYON VIEW,1
HOOT,1
LANDMARK,1
GREAT AMERICAN,1
LAKES AIR,1
LAKES CARGO,1
GREAT PLAINS,1
GREAT WALL,1
G-W AIR,1
HELLENIC AIR FORCE,1
HELLENIC NAVY,1
GRIFFIN AIR,1
GRIXONA,1
GRIZODUBOVA AIR,1
GROSSMANN,1
GROSSJET,1
GROUND HANDLING,1
GRUPOMED,1
GRUPOEJECUTIVA,1
TACA-COSTARICA,1
VUELOS MED,1
GRUPOMONTERREY,1
GUARD AIR,1
BISSAU AIRLINES,1
GUINEA AIRWAYS,1
GUINEA CARGO,1
GUINEE AIRLINES,1
GEASA,1
GUIPAR,1
GUIZHOU,1
GUJA,1
GUJARATAIR,1
TRANSAUTO,1
GULF AFRICAN,1
GULF AIR,1
GULF BAHRAIN,1
GULF TRANS,1
GULF CENTRAL,1
SKY FLITE,1
AIR GULFPEARL,1
GULFSTREAM TEST,1
GULFSTAR,1
GULF FLIGHT,1
GULL-AIR,1
GUM AIR,1
RISING SUN,1
GWYN,1
HEAVYLIFT,1
FLITEWISE,1
COPTER TRANS,1
HELIAPRA,1
HADI,1
HAGELAND,1
AIRNET,1
ROOSTER,1
HAINAN,1
HAITI INTERNATIONAL,1
HAITI AIRLINE,1
HANAIR,1
HAITI TRANSAIR,1
HALISA,1
HAJVAIRY,1
HAK AIRLINE,1
HALA AIR,1
HALCYON,1
HAMBURG JET,1
BIZJET,1
HAMRA,1
WABASH VALLEY,1
HANG,1
HANGARD,1
HANSUNG AIR,1
YELLOW CAB,1
HAPAG LLOYD,1
HARBOR,1
HARMONY,1
NORBROOK,1
POYSTON,1
HAVILAH,1
HAWAIIAN,1
AIR HAW,1
HAWK MEXICO,1
HAWKEYE,1
HAZELTON,1
HEAVY CARGO,1
HEAVYLIFT INTERNATIONAL,1
HELICATALUNA,1
HELEN,1
HELENCORP,1
HELENIA,1
HELI BULGARIA,1
ALPIN HELI,1
HELIBERNINA,1
HELIFRANCE,1
HELIHUNGARY,1
HELIMIDWEST,1
HELI SAINT-TROPEZ,1
HELI TRIP,1
HELI UNION,1
HELI AIR,1
HELI HOLLAND,1
ERICA,1
HIFSA,1
INTER GUYANNE,1
HELI-LINK,1
HELIAMERICA,1
HELIAVIA,1
CADDY,1
HELIBRAVO,1
HELICAP,1
HELICENTRE,1
HELICOL,1
HELI CZECH,1
JOCKEY,1
MAVRIK,1
HELIPERSONAL,1
AGROFORESTAL,1
HELICOP INTER,1
HELINAC,1
HELICSA,1
HELIJET,1
HELIDRIFT,1
SWEDCOPTER,1
HELIOCEAN,1
HELIOS,1
HELIPISTAS,1
HELIPORTUGAL,1
HELICAMPECHE,1
HELIS,1
HELISWISS,1
HELITAFE,1
HELITALIA,1
OFAVI,1
SCANBIRD,1
HELITRANS,1
HELIWORKS,1
HELLAS JET,1
FLYHELLO,1
HELOG,1
HELVETIC,1
HEMUS AIR,1
SNOWSHOE,1
SPEEDMARK,1
FLAPJACK,1
ALLCONGO,1
HEX AIRLINE,1
HIJET,1
SKY FLYER,1
HIGH-LINE,1
HIWAY,1
HISPANIOLA,1
HOGAN AIR,1
NORTH AIR,1
AIR DO,1
HOLA,1
HOLDING GROUP,1
HOLIDAY,1
HOLSTEN,1
HOMAC,1
HONDURAS AIR,1
BAUHINIA,1
HONGKONG SHUTTLE,1
HONIARA CARGO,1
HOPA-JET,1
HOPE AIR,1
HORIZON AIR,1
KOKO,1
ALOFUKAIR,1
HORIZON,1
HORIZON PLUS,1
HUD,1
HORIZONTES AEREOS,1
DINAMICOS,1
HOUSTON HELI,1
GREGG AIR,1
HOZAVIA,1
HUB,1
HUESSLER,1
HUGHES EXPRESS,1
WHIRLEYBIRD,1
SILVER EAGLE,1
HUNGARIAN AIRFORCE,1
HYACK,1
HYDRO CARGO,1
HYDRO,1
CHASQUI,1
BLUE,1
AIR TRADER,1
INDIGO,1
EIFEL,1
FLIGHT RED,1
JET MANAGEMENT,1
IKIAIR,1
IKON,1
BLUENOSE,1
IPEC,1
SHIPEX,1
SILVERBIRD,1
ISDAVIA,1
IBERIA,1
IBERTOUR,1
IBERTRANS,1
IBEX,1
IBICENCA,1
TUZLA AIR,1
FRANCHE COMPTE,1
ICARO,1
ICARFLY,1
ICARUS,1
ICEJET,1
ICEAIR,1
ICELAND COAST,1
IKAROS,1
CIOCCO,1
ILAVIA,1
ILDEFONSO,1
ILIAMNA AIR,1
ILYICHAVIA,1
IMAER,1
IMPROTEX,1
IMTREC,1
INDEPENDENCE AIR,1
INDEPENDENT,1
IFLY,1
INDIA INTER,1
INDIAN AIRFORCE,1
INDAIR,1
INDICATOR,1
INDIGO BLUE,1
INTRA,1
WAGON AIR,1
INDO LINES,1
NUSANTARA,1
TITANLUX,1
INFINIT,1
INNOTECH,1
INSELAIR,1
CARTO,1
INTAIRCO,1
INTAL AVIA,1
INTELIJET,1
INTENSIVE,1
INTER WINGS,1
INTER-EURO,1
QUEBEC ROMEO,1
INTER-TROPIC,1
CAFEX,1
INTER-CANADIAN,1
UGLY VAN,1
INTER-MOUNTAIN,1
INTER-STATE,1
INLINE,1
INTERMEX,1
ASTAIR,1
INTERAVIA,1
CONTAVIA,1
CHOPER,1
INTERFLIGHT,1
INFLY,1
INTERFREIGHT,1
DIVINE AIR,1
TRI-BIRD,1
ISLANDWAYS,1
INTERCOPTER,1
INTERLINK,1
AIR CARGO EGYPT,1
EXPRESS INTERNATIONAL,1
STARFLEET,1
INTERAIR SERVICES,1
INTERBIZ,1
CENTRAL STAGE,1
INTERSERVI,1
INTEX,1
RED CROSS,1
 Trade and Public Works,1
IFTA,1
I-JET,1
HOSPITAL,1
SKYMEDIC,1
ATHENA,1
INTRANS NIGERIA,1
INTERPORT,1
GENERAL SKY,1
INTERSKY,1
FREEWAYAIR,1
INTERLOS,1
INVER,1
IONA,1
IOWA AIR,1
IRANAIR,1
NAFT,1
IRAQI,1
IRBIS,1
IRISH,1
IRISH TRANS,1
AUTHORITY,1
IRTYSH AIRLINES,1
KACEY,1
ISLANDMEX,1
ISLAND FLIGHT,1
RAINBIRD,1
SORIANO,1
ISLE AVIA,1
SANDY ISLE,1
METROCOPTER,1
JARLAND,1
ICEBIRD,1
PINTADERA,1
ISLA GRANDE,1
SCILLONIA,1
ISRAEL AIRCRAFT,1
ISRAIR,1
ISTANBUL,1
ITALI,1
RIVIERA,1
ITEK-AIR,1
IVOIRE AERO,1
IVOIRAIRWAYS,1
IVOIRE JET,1
X-BIRD,1
IZMIR,1
IZHAVIA,1
JAYSEEBEE,1
REFLEX,1
J AIR,1
JANEX,1
JALWAYS,1
JAY DEE,1
RED PELICAN,1
TACOMA,1
JAYEMMSEE,1
JS CHARTER,1
JAY-ESS AVIATION,1
JACKSON,1
JADE CARGO,1
JAW,1
JAMBOAFRICA,1
YANZAR,1
JANAIR,1
COMMUTER,1
JAPANAIR,1
J-BIRD,1
ASIA,1
JAI OCEAN,1
JAT,1
JATAYU,1
JAZEERA,1
JEJU AIR,1
JENAIR,1
JETPLAN,1
JETA,1
SISTEMA,1
JET AIRWAYS,1
JET ASPEN,1
JETAVIATION,1
BIZFLEET,1
JET CENTER,1
JET CHARTER,1
JET CONNECT,1
DON JUAN,1
JET EAST,1
JET EXECUTIVE,1
RAZOR,1
CASPER FREIGHT,1
JET GEE-AND-DEE,1
MOLDJET,1
JET OPS,1
HEARTLAND,1
JET NORTE,1
JET RENT,1
JEDI,1
JETSTAR ASIA,1
JET STREAM,1
JETRANS,1
MOSCOW JET,1
OPS-JET,1
CHANNEX,1
ARGAN,1
BEVO,1
JETBLUE,1
QANTAS JETCONNECT,1
JET MAGIC,1
